url,name,description,duration,adaptive_irt_support,remote_testing_support,test_types,url_normalized,test_type_list,is_technical,is_behavioral,search_text
https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,Account Manager Solution,"The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. Sample tasks for these jobs include, but are not limited to: communicating with clients about project status, developing and maintaining project plans, coordinating internally with appropriate project personnel, and ensuring client expectations are being met. Potential job titles that use this solution are: Account Executive, Account Manager, and Senior Account Manager. There are multiple configurations of this solution available.",49 minutes,Yes,Yes,"['Cognitive', 'Personality', 'Ability', 'Behavioral']",solutions/products/product-catalog/view/account-manager-solution/,"['Cognitive', 'Personality', 'Ability', 'Behavioral']",False,True,"account manager solution the account manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. sample tasks for these jobs include, but are not limited to: communicating with clients about project status, developing and maintaining project plans, coordinating internally with appropriate project personnel, and ensuring client expectations are being met. potential job titles that use this solution are: account executive, account manager, and senior account manager. there are multiple configurations of this solution available. cognitive personality ability behavioral"
https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,Administrative Professional - Short Form,"The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. Potential job titles that use this solution are: Administrative Assistant, Secretary, Office Manager, Administrative Aide, and Administrative Associate.",36 minutes,Yes,Yes,"['Ability', 'Knowledge', 'Personality']",solutions/products/product-catalog/view/administrative-professional-short-form/,"['Ability', 'Knowledge', 'Personality']",False,True,"administrative professional - short form the administrative professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. potential job titles that use this solution are: administrative assistant, secretary, office manager, administrative aide, and administrative associate. ability knowledge personality"
https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,Agency Manager Solution,"The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this job include, but are not limited to: directing and coordinating financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department.  Potential job titles that use this solution are: Agency Manager, Brokerage Manager. Multiple configurations of this solution are available.",51 minutes,Yes,Yes,"['Ability', 'Behavioral', 'Personality', 'Situational']",solutions/products/product-catalog/view/agency-manager-solution/,"['Ability', 'Behavioral', 'Personality', 'Situational']",False,True,"agency manager solution the agency manager solution is for mid-level sales management positions that include front line management and sales responsibilities. sample tasks for this job include, but are not limited to: directing and coordinating financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department.  potential job titles that use this solution are: agency manager, brokerage manager. multiple configurations of this solution are available. ability behavioral personality situational"
https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,Apprentice + 8.0 Job Focused Assessment,"The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organisations whose business spans across regions.",30 minutes,No,Yes,"['Behavioral', 'Personality']",solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,"['Behavioral', 'Personality']",False,True,"apprentice + 8.0 job focused assessment the apprentice + 8.0 job-focused assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. this assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. it is intended to be used multi-nationally for organisations whose business spans across regions. behavioral personality"
https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,Apprentice 8.0 Job Focused Assessment,"The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organizations whose business spans across regions.",20 minutes,No,Yes,"['Behavioral', 'Personality']",solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,"['Behavioral', 'Personality']",False,True,"apprentice 8.0 job focused assessment the apprentice 8.0 job-focused assessment is a short, targeted, globally applicable assessment. this assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. it is intended to be used multi-nationally for organizations whose business spans across regions. behavioral personality"
https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,Bank Administrative Assistant - Short Form,"The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs include, but are not limited to: answering telephones, managing files and records, sorting mail, greeting customers, and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. There are multiple configurations of this solution available.",35 minutes,No,Yes,"['Ability', 'Behavioral', 'Knowledge', 'Personality']",solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,"['Ability', 'Behavioral', 'Knowledge', 'Personality']",False,True,"bank administrative assistant - short form the administrative assistant solution is for entry-level clerical positions that interact with external or internal customers. sample tasks for these jobs include, but are not limited to: answering telephones, managing files and records, sorting mail, greeting customers, and collaborating with co-workers on projects. potential job titles that use this solution are: receptionist and administrative assistant. there are multiple configurations of this solution available. ability behavioral knowledge personality"
https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,Bank Collections Agent - Short Form,"This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple choice questions to measure achievement orientation, dependability, collector numerical skills, revenue recovery, customer focus, and persistence and planfulness. There are multiple configurations and versions of this solution available.",45 minutes,No,Yes,"['Ability', 'Behavioral', 'Personality']",solutions/products/product-catalog/view/bank-collections-agent-short-form/,"['Ability', 'Behavioral', 'Personality']",False,True,"bank collections agent - short form this solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. candidates answer multiple choice questions to measure achievement orientation, dependability, collector numerical skills, revenue recovery, customer focus, and persistence and planfulness. there are multiple configurations and versions of this solution available. ability behavioral personality"
https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,Bank Operations Supervisor - Short Form,"The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to:  planning and preparing work schedules, assigning employees to specific duties; coaching  employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks  and priorities; and making  day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, First Line Supervisor, Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor. There are multiple configurations and versions of this solution available.",45 minutes,Yes,Yes,"['Ability', 'Behavioral', 'Personality', 'Situational']",solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,"['Ability', 'Behavioral', 'Personality', 'Situational']",False,True,"bank operations supervisor - short form the bank operations supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. sample tasks for these jobs include, but are not limited to:  planning and preparing work schedules, assigning employees to specific duties; coaching  employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks  and priorities; and making  day-to-day decisions with minimal guidance from others. potential job titles that use this solution are: team leader, first line supervisor, processing supervisor, call center supervisor, and customer service supervisor. there are multiple configurations and versions of this solution available. ability behavioral personality situational"
https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,Bilingual Spanish Reservation Agent Solution,"The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include making, updating, or canceling hotel reservations made in English or Spanish; listening to customers speak Spanish and entering information into a computer in English; providing information on the hotel and the services offered. Potential job titles that use this solution are: Bilingual Reservation Agent, Customer Service Representative and Reservationist. Multiple configurations of this solution are available.",43 minutes,Yes,Yes,"['Behavioral', 'Personality', 'Situational', 'Ability']",solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,"['Behavioral', 'Personality', 'Situational', 'Ability']",False,True,"bilingual spanish reservation agent solution the bilingual reservation agent solution is designed for customer centered entry-level positions within the hospitality industry. sample tasks may include making, updating, or canceling hotel reservations made in english or spanish; listening to customers speak spanish and entering information into a computer in english; providing information on the hotel and the services offered. potential job titles that use this solution are: bilingual reservation agent, customer service representative and reservationist. multiple configurations of this solution are available. behavioral personality situational ability"
https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,"Bookkeeping, Accounting, Auditing Clerk Short Form","The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and maintaining financial records. Sample tasks for this job include, but are not limited to: entering financial data into computers; checking financial records for accuracy; perform routine computations on financial data. Potential job titles that use this solution are: Accounting Clerk, Bookkeeper, Accounting Associate, Auditing Clerk and Accounts Receivable Clerk.",49 minutes,Yes,Yes,"['Personality', 'Situational', 'Knowledge', 'Behavioral', 'Ability']",solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,"['Personality', 'Situational', 'Knowledge', 'Behavioral', 'Ability']",False,True,"bookkeeping, accounting, auditing clerk short form the bookkeeping, accounting, and auditing clerk solution is for entry-level positions that involve entering numerical data into computer systems and maintaining financial records. sample tasks for this job include, but are not limited to: entering financial data into computers; checking financial records for accuracy; perform routine computations on financial data. potential job titles that use this solution are: accounting clerk, bookkeeper, accounting associate, auditing clerk and accounts receivable clerk. personality situational knowledge behavioral ability"
